,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,k,lambda_C
0,1350.0,-0.013528356491962563,-0.08750767212737151,1.2490009027033011e-15,-0.0035525313653710644,0,0.8
1,1350.0,-0.014743553552602982,-0.0936875053544622,1.1102230246251565e-16,-0.004238981091257282,1,0.8
2,1350.0,-0.013528356491962563,-0.08750767212737151,1.2490009027033011e-15,-0.0035525313653710644,0,0.9
3,1350.0,-0.014743553552602982,-0.0936875053544622,1.1102230246251565e-16,-0.004238981091257282,1,0.9
4,1350.0,-0.013528356491962563,-0.08750767212737151,1.2490009027033011e-15,-0.0035525313653710644,0,1.0
5,1350.0,-0.014743553552602982,-0.0936875053544622,1.1102230246251565e-16,-0.004238981091257282,1,1.0
6,1350.0,-0.013528356491962563,-0.08750767212737151,1.2490009027033011e-15,-0.0035525313653710644,0,1.1
7,1350.0,-0.014743553552602982,-0.0936875053544622,1.1102230246251565e-16,-0.004238981091257282,1,1.1
8,1350.0,-0.013528356491962563,-0.08750767212737151,1.2490009027033011e-15,-0.0035525313653710644,0,1.2
9,1350.0,-0.014743553552602982,-0.0936875053544622,1.1102230246251565e-16,-0.004238981091257282,1,1.2
