,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,k,lambda_C
0,1350.0,0.25998517586616604,0.004515407917682459,0.06415919086887431,0.000977625730280346,0,0.8
1,1350.0,0.14924749576023089,0.0880205570761505,0.011394807424191356,0.006840928635794025,1,0.8
2,1350.0,-0.012930503698622746,0.0633547090565758,6.938893903907228e-16,0.00382996788585499,2,0.8
3,1350.0,-0.011665090687407361,0.08549453800426195,0.0,0.0038299678858542963,3,0.8
4,1350.0,-0.012538589452426497,0.08249664613010764,1.4988010832439613e-15,0.003829967885855795,4,0.8
5,1350.0,-0.01553473160791551,0.05765468714982817,-6.106226635438361e-16,0.0038299678858536856,5,0.8
6,1350.0,0.08205958049375539,0.02609280394402201,0.011768697133293066,0.0047268385132114565,6,0.8
7,1350.0,-0.01627114628744786,0.21977349457055775,1.1102230246251565e-16,0.0038299678858544073,7,0.8
8,1350.0,0.35705595427813136,0.014134194518529921,0.0710488792137115,0.0025901460081579827,8,0.8
9,1350.0,0.0819766662861149,0.05081419565415943,0.011813500890263992,0.007891845927526342,9,0.8
10,1350.0,0.009203943040104532,0.045813577927043166,0.001445234238813986,0.003746074951177708,10,0.8
11,1350.0,-0.015665120283851232,0.06501083116162285,6.38378239159465e-16,0.0038299678858549346,11,0.8
12,1350.0,-0.015977621417266007,0.07441745663680269,7.216449660063518e-16,0.003829967885855018,12,0.8
13,1350.0,-0.012231757772616274,0.055092204976459266,1.942890293094024e-16,0.0038299678858544906,13,0.8
14,1350.0,0.008150265250638467,0.04467883280637531,0.0014452342388139028,0.003746074951177625,14,0.8
15,1350.0,-0.013518189858626805,0.10214468226512453,4.440892098500626e-16,0.0038299678858547404,15,0.8
16,1350.0,-0.01571020570878839,0.0803087365907283,2.220446049250313e-16,0.0038299678858545183,16,0.8
17,1350.0,0.2600722800465985,0.04408789773466984,0.04443113161017631,0.008357460862849359,17,0.8
18,1350.0,0.2700672398299545,0.025126533142850963,0.060875755045036437,0.0062835747421961935,18,0.8
19,1350.0,0.5150248617997205,0.06760907193045246,0.07094456066433077,0.009158920477921946,19,0.8
20,1350.0,0.00972730393426295,0.04383080705757952,0.001445234238815013,0.003746074951178735,20,0.8
21,1350.0,0.008648596760578024,0.0570006809841727,0.0014452342388143469,0.004511814223545324,21,0.8
22,1350.0,0.0010723557125624247,0.025682824699405127,0.0014452342388157902,0.003746074951179512,22,0.8
23,1350.0,0.5248477912623718,0.03368314589941267,0.06847493563569551,0.0041130129775075255,23,0.8
24,1350.0,0.005853099204530025,0.033348062595398936,0.0014452342388152628,0.003746074951178985,24,0.8
25,1350.0,0.0020109960561528785,0.025295060304299115,0.0014452342388149575,0.0037460749511786795,25,0.8
26,1350.0,-0.0037227719231993513,0.06245081987063495,0.0007213043450493839,0.00455127223090368,26,0.8
27,1350.0,0.009728746701068321,0.062119996142960855,0.0014452342388138195,0.004509462852300861,27,0.8
28,1350.0,-0.013619322957249798,0.2051565516419739,-3.3306690738754696e-16,0.003829967885853963,28,0.8
29,1350.0,-0.016691893082230885,0.06521205131396307,-3.608224830031759e-16,0.0038299678858539354,29,0.8
30,1350.0,-0.0012011381117476843,0.06194937571136531,0.0007213043450502998,0.004551272230904596,30,0.8
31,1350.0,0.19376067387887583,0.028064980952888542,0.030005966619952487,0.005415476980550116,31,0.8
32,1350.0,0.2946055321494524,0.009089508096034583,0.07624337159092198,0.0024508588180363056,32,0.8
33,1350.0,-0.0156076384737273,0.058244700628204193,7.771561172376096e-16,0.0038299678858550734,33,0.8
34,1350.0,-0.01324893650751243,0.06532386323886334,9.71445146547012e-16,0.0038299678858552677,34,0.8
35,1350.0,0.2978751520689911,0.005294105045535512,0.06757018936198764,0.0008767428437299399,35,0.8
36,1350.0,-0.012499505332551767,0.0933779332443984,5.273559366969494e-16,0.0038299678858548236,36,0.8
37,1350.0,-0.01309787095068304,0.09195764260392235,4.440892098500626e-16,0.0038299678858547404,37,0.8
38,1350.0,0.0083000633730602,0.03752821118452952,0.0014452342388149575,0.0037460749511786795,38,0.8
39,1350.0,-0.017134703183079726,0.22514012733717936,4.163336342344337e-16,0.0038299678858547126,39,0.8
40,1350.0,0.12903703873869446,0.04193124067631793,0.016289931487031103,0.006086175870220548,40,0.8
