,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,weekly_liq_unhedged_init,weekly_liq_unhedged_true,unhedged_tracking_error_init,unhedged_tracking_error_true,k,lambda_C
0,1350.0,0.18505243519450962,0.04888662658014823,0.030134944167826777,0.008878852227400605,566.8567730417719,1618.1514824245946,0.5801060940431318,-0.19863072772192195,0,0.8
1,1350.0,0.014194783526936006,0.08070292763336018,0.001445234238813986,0.005275202124668282,953.8641499619575,2326.0946314079724,0.29343396299114255,-0.7230330603022018,1,0.8
2,1350.0,-0.010534964026834763,0.10746888329430383,6.661338147750939e-16,0.0038299678858549624,1572.455829756711,2976.332268490865,-0.1647820961160822,-1.2046905692524925,2,0.8
3,1350.0,0.5572897299061129,0.027446830696171775,0.07805103745035087,0.0040944612374592335,442.61319860130715,943.7002708578717,0.6721383714064391,0.3009627623275024,3,0.8
4,1350.0,0.003272483293620933,0.029264965129934917,0.0014452342388142914,0.0037460749511780134,1739.7900550373522,3103.7891184749496,-0.2887333741017424,-1.299103050722185,4,0.8
5,1350.0,0.005751077813893433,0.039657947958838875,0.001445234238816262,0.003746074951179984,1893.550405462392,3254.941070376333,-0.40262992997214225,-1.4110674595380244,5,0.8
6,1350.0,-0.0032142061025514685,0.06018370638987578,0.0007213043450499113,0.0045512722309042075,2620.2981088544943,4056.1237324597364,-0.9409615621144403,-2.004536098118323,6,0.8
7,1350.0,0.010785688338598057,0.04623457800730513,0.0014452342388152628,0.003746074951178985,1147.9237088618543,2492.5550610938776,0.14968614158381166,-0.8463370822917612,7,0.8
8,1350.0,0.3879851590887686,0.002258436241821632,0.07274973752310934,0.0007351361170151588,354.5524063657947,872.7422935730204,0.7373685878771891,0.35352422698294783,8,0.8
9,1350.0,0.00021216348896849454,0.025483386556646212,0.0014452342388144024,0.0037460749511781244,1918.4766232780953,3270.758977227028,-0.42109379502081135,-1.4227844275755763,9,0.8
10,1350.0,-0.015066272069892448,0.1698331599816906,6.661338147750939e-16,0.0038299678858549624,2876.9657834943037,4331.529369566717,-1.131085765551336,-2.2085402737531235,10,0.8
11,1350.0,0.00046368677521699015,0.07914456948864124,0.000723929893765296,0.004553897779619592,2000.0000438358131,3406.5679689869976,-0.48148151395245414,-1.5233836807311094,11,0.8
12,1350.0,-0.0173852984133452,0.10518043868647556,-4.996003610813204e-16,0.0038299678858537967,3069.8991632085326,4518.073851861676,-1.2739993801544687,-2.34672137174939,12,0.8
13,1350.0,-0.016377236929285877,0.12553247280118685,8.881784197001252e-16,0.0038299678858551844,2585.0937168777104,4007.8007221353305,-0.91488423472423,-1.9687412756558003,13,0.8
14,1350.0,0.14360611559146436,0.00860945181466073,0.10341031023715938,0.00014779416721991817,112.95129712740321,334.7473145150022,0.9163323724982199,0.7520390262851835,14,0.8
15,1350.0,-0.01583014046246477,0.0843909626212542,-3.3306690738754696e-16,0.003829967885853963,3101.596852254989,4536.222406074181,-1.2974791498185103,-2.360164745240134,15,0.8
16,1350.0,-0.004231501533028463,0.05945892474530408,0.0007213043450490786,0.004551272230903375,2273.614574322507,3686.094994317093,-0.6841589439425978,-1.73044073653118,16,0.8
17,1350.0,-0.011951073976629315,0.06840001836740293,1.304512053934559e-15,0.0038299678858556008,1006.5575341685402,2383.6642731202246,0.2544018265418221,-0.7656772393483146,17,0.8
18,1350.0,-0.015222743407671413,0.06939376749183471,6.106226635438361e-16,0.003829967885854907,1957.0767837884678,3364.6250364536777,-0.4496865065099761,-1.492314841817539,18,0.8
19,1350.0,0.44775204074857544,0.06609708101400373,0.06282495344886173,0.009544546146464022,409.78570552342086,1119.6320337720076,0.6964550329456142,0.17064293794666102,19,0.8
20,1350.0,-0.016949884211244267,0.07810087338721966,7.771561172376096e-16,0.0038299678858550734,3067.180891005083,4508.107428948843,-1.2719858451889505,-2.3393388362584027,20,0.8
21,1350.0,0.00874409893020179,0.04599353834577898,0.0014452342388136807,0.0037460749511774027,1467.6926916729715,2820.4153320375226,-0.0871797716096085,-1.0891965422500167,21,0.8
22,1350.0,-0.015010265323511166,0.13682591623335863,4.996003610813204e-16,0.003829967885854796,2689.703541579968,4138.974260124645,-0.9923729937629391,-2.065906859351589,22,0.8
23,1350.0,-0.014868664444346761,0.09644884393996868,-6.938893903907228e-16,0.0038299678858536024,1939.4083701216086,3346.9274372901646,-0.43659879268267304,-1.4792055091038256,23,0.8
24,1350.0,-0.015803111501378662,0.19335405201213596,3.0531133177191805e-16,0.0038299678858546016,3630.254000441253,5112.639723382505,-1.6890770373638913,-2.7871405358388923,24,0.8
25,1350.0,-0.01438397910128079,0.056016074085777516,-1.1102230246251565e-16,0.0038299678858541852,1904.895326056479,3313.7739457687285,-0.4110335748566511,-1.4546473672360951,25,0.8
26,1350.0,-0.016404908937635597,0.2830548820147664,6.106226635438361e-16,0.003829967885854907,7055.943493458728,8677.05299935931,-4.226624809969428,-5.427446666192082,26,0.8
27,1350.0,0.08708604211692197,0.0448023700824906,0.0065582010658977175,0.0035942327580428257,686.8734608968223,1959.875421921197,0.49120484378013163,-0.4517595717934792,27,0.8
