time,close,hashrate,S9,S17,S19J,M20,M30
2021-03-28,55781.01,159922517.59924772,354.0,4111.0,10337.0,4974.0,9927.0
2021-04-04,58219.43,161866546.07894483,594.0,4936.0,11851.0,6224.0,10548.0
2021-04-11,59980.45,165320268.06262448,594.0,4936.0,11851.0,6224.0,10548.0
2021-04-18,56246.82,163871334.3494854,594.0,4936.0,11851.0,6224.0,10548.0
2021-04-25,49120.97,160324533.03069752,594.0,4936.0,11851.0,6224.0,10548.0
2021-05-02,56623.51,159738092.19659823,528.0,4117.0,11452.0,5634.0,10480.0
2021-05-09,58294.18,162011706.26717004,528.0,4117.0,11452.0,5634.0,10480.0
2021-05-16,46490.71,163995022.92329028,528.0,4117.0,11452.0,5634.0,10480.0
2021-05-23,34716.84,165268919.71940428,528.0,4117.0,11452.0,5634.0,10480.0
2021-05-30,35662.59,163115042.03490803,528.0,4117.0,11452.0,5634.0,10480.0
2021-06-06,35798.57,157442170.41070235,364.0,3065.0,8416.0,3825.0,6278.0
2021-06-13,39017.37,146363616.7553843,364.0,3065.0,8416.0,3825.0,6278.0
2021-06-20,35602.26,140294584.1611904,364.0,3065.0,8416.0,3825.0,6278.0
2021-06-27,34713.81,127254953.25220867,364.0,3065.0,8416.0,3825.0,6278.0
2021-07-04,35287.97,112896903.92405038,252.0,2506.0,6370.0,3001.0,8074.0
2021-07-11,34249.3,104049695.77463193,252.0,2506.0,6370.0,3001.0,8074.0
2021-07-18,31806.3,97058283.87736519,252.0,2506.0,6370.0,3001.0,8074.0
2021-07-25,35369.93,96288842.1804458,252.0,2506.0,6370.0,3001.0,8074.0
2021-08-01,39870.76,101967127.00090171,351.0,3183.0,8857.0,4075.0,9310.0
2021-08-08,43827.75,106287767.08871654,351.0,3183.0,8857.0,4075.0,9310.0
2021-08-15,47015.94,109813681.6381628,351.0,3183.0,8857.0,4075.0,9310.0
2021-08-22,49289.71,115385865.06561457,351.0,3183.0,8857.0,4075.0,9310.0
2021-08-29,48794.26,120898051.96128267,351.0,3183.0,8857.0,4075.0,9310.0
2021-09-05,51784.16,125271454.03686284,305.0,4164.0,9772.0,4239.0,9709.0
2021-09-12,46049.72,130544542.68443385,305.0,4164.0,9772.0,4239.0,9709.0
2021-09-19,47251.76,133948500.52014989,305.0,4164.0,9772.0,4239.0,9709.0
2021-09-26,43201.79,135369687.2431259,305.0,4164.0,9772.0,4239.0,9709.0
2021-10-03,48234.05,140053149.97161576,313.0,3456.0,10239.0,4099.0,10127.0
2021-10-10,54700.24,141940126.46344894,313.0,3456.0,10239.0,4099.0,10127.0
2021-10-17,61520.54,143887418.19626525,313.0,3456.0,10239.0,4099.0,10127.0
2021-10-24,60863.56,146426683.50780305,313.0,3456.0,10239.0,4099.0,10127.0
2021-10-31,61349.75,151259284.7877739,370.0,4239.0,10319.0,4500.0,10120.0
2021-11-07,63302.78,155640150.01561528,370.0,4239.0,10319.0,4500.0,10120.0
2021-11-14,65509.06,159168210.5055122,370.0,4239.0,10319.0,4500.0,10120.0
2021-11-21,58700.83,162163846.74114403,370.0,4239.0,10319.0,4500.0,10120.0
2021-11-28,57331.41,161480687.93246594,370.0,4239.0,10319.0,4500.0,10120.0
2021-12-05,49465.5,163486826.27495316,364.0,4488.0,10152.0,4435.0,9509.0
2021-12-12,50109.99,167988473.23684895,364.0,4488.0,10152.0,4435.0,9509.0
2021-12-19,46697.13,168292693.27510917,364.0,4488.0,10152.0,4435.0,9509.0
2021-12-26,50790.88,173787809.79324114,364.0,4488.0,10152.0,4435.0,9509.0
2022-01-02,47306.41,177165296.09263197,331.0,2811.0,9686.0,4104.0,9426.0
2022-01-09,41869.6,175253512.51965114,331.0,2811.0,9686.0,4104.0,9426.0
2022-01-16,43100.36,181267080.22495422,331.0,2811.0,9686.0,4104.0,9426.0
2022-01-23,36288.15,183509326.24318567,331.0,2811.0,9686.0,4104.0,9426.0
2022-01-30,37908.44,189036338.48063222,331.0,2811.0,9686.0,4104.0,9426.0
2022-02-06,42412.41,190742823.17611554,286.0,2933.0,9386.0,4033.0,9275.0
2022-02-13,42069.84,194384007.60056788,286.0,2933.0,9386.0,4033.0,9275.0
2022-02-20,38397.25,197977432.27781436,286.0,2933.0,9386.0,4033.0,9275.0
2022-02-27,37714.96,198337998.70635003,286.0,2933.0,9386.0,4033.0,9275.0
2022-03-06,38428.92,198972376.9785885,309.0,2946.0,8603.0,3827.0,7910.0
2022-03-13,37796.31,201813170.95805976,309.0,2946.0,8603.0,3827.0,7910.0
2022-03-20,41243.16,199444676.69260922,309.0,2946.0,8603.0,3827.0,7910.0
2022-03-27,46842.14,201008434.78603503,309.0,2946.0,8603.0,3827.0,7910.0
2022-04-03,46414.26,201157366.82327622,263.0,2707.0,7925.0,3533.0,7126.0
2022-04-10,42153.77,205174509.88423654,263.0,2707.0,7925.0,3533.0,7126.0
2022-04-17,39688.16,205482756.82760772,263.0,2707.0,7925.0,3533.0,7126.0
2022-04-24,39466.26,207005798.71904615,263.0,2707.0,7925.0,3533.0,7126.0
2022-05-01,38480.53,211965585.31783193,240.0,2292.0,6562.0,2702.0,6575.0
2022-05-08,34033.77,216434957.78718045,240.0,2292.0,6562.0,2702.0,6575.0
2022-05-15,31296.11,219229709.5960934,240.0,2292.0,6562.0,2702.0,6575.0
2022-05-22,30264.29,221046645.71456063,240.0,2292.0,6562.0,2702.0,6575.0
2022-05-29,29452.23,219596085.13957918,240.0,2292.0,6562.0,2702.0,6575.0
2022-06-05,29897.9,215898596.81519413,124.0,1444.0,5093.0,1734.0,4747.0
2022-06-12,26587.35,216997084.559864,124.0,1444.0,5093.0,1734.0,4747.0
2022-06-19,20553.48,215301990.30120876,124.0,1444.0,5093.0,1734.0,4747.0
2022-06-26,21031.85,215018918.96305898,124.0,1444.0,5093.0,1734.0,4747.0
2022-07-03,19294.21,216139122.5460166,135.0,1549.0,3713.0,1480.0,3719.0
2022-07-10,20846.53,210565405.54503196,135.0,1549.0,3713.0,1480.0,3719.0
2022-07-17,20792.81,207121899.20496988,135.0,1549.0,3713.0,1480.0,3719.0
2022-07-24,22585.4,204285009.87239122,135.0,1549.0,3713.0,1480.0,3719.0
2022-07-31,23308.14,201559755.55719405,107.0,1068.0,3301.0,1382.0,3475.0
2022-08-07,23179.86,201425723.01994446,107.0,1068.0,3301.0,1382.0,3475.0
2022-08-14,24313.71,203085603.9851624,107.0,1068.0,3301.0,1382.0,3475.0
2022-08-21,21514.79,206817333.65894872,107.0,1068.0,3301.0,1382.0,3475.0
2022-08-28,19554.08,209709319.55404043,107.0,1068.0,3301.0,1382.0,3475.0
2022-09-04,20003.46,215699327.77267936,62.0,1277.0,3088.0,1350.0,3269.0
2022-09-11,21836.45,220803155.7704675,62.0,1277.0,3088.0,1350.0,3269.0
2022-09-18,19417.72,227550574.75238138,62.0,1277.0,3088.0,1350.0,3269.0
2022-09-25,18809.94,227996733.6188044,62.0,1277.0,3088.0,1350.0,3269.0
