,machine_duration,deterministic,bsm,binomial,mc_rnd,mc_mu_zero,mc_mu_emp
0,0.1,276.9987372082916,276.9987372087772,276.9987372084032,347.33478963448846,345.08706466491753,343.5780324045638
1,0.2,611.1560412012607,611.1560766930686,611.1560665332729,681.7788981255243,670.0494976070148,682.0398495510482
2,0.3,932.2546622167501,932.2572868015047,932.2569123178033,988.8177340181319,984.2762737448413,988.547584541274
3,0.4,1241.066432081501,1241.095813476192,1241.0935646811977,1299.4960576118742,1295.0924924796038,1295.6312063797056
4,0.5,1602.6598728984573,1602.809448983088,1602.8022429676398,1644.9632355744466,1618.6165667764346,1663.5666917220246
5,0.6,1887.7779785557127,1888.2478535581706,1888.2314242255222,1949.8685949681055,1894.173394450626,1932.7523968143762
